onset	duration	nwb_table	visited_arm	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	peak_frequencies	ripple_durations	peak_amplitudes	label
530.6536	0.03440000000000509	RippleTimeIntervals						530.6768000000001	5.228502240122276	135.8395972175197	0.03440000000000509	1646.71690080627	
531.0	4.0	SleepStates											NREM_ThDt
531.0	4.0	SleepStates											NREM_noRipples_ThDt
531.3792	0.05600000000004002	RippleTimeIntervals						531.4200000000001	4.596621239759418	140.93891777956406	0.05600000000004002	1318.9445215817764	
531.5456	0.03520000000003165	RippleTimeIntervals						531.5584	5.288276135200783	145.9884764467786	0.03520000000003165	1321.760298827433	
534.6104	0.03200000000003911	RippleTimeIntervals						534.6312	9.620088921309394	154.2974935579203	0.03200000000003911	1827.0010586828187	
534.7672	0.04240000000004329	RippleTimeIntervals						534.8016	4.147487410359764	143.02576367369227	0.04240000000004329	1400.1043192329787	
536.0	7.0	SleepStates											WAKEstate
536.0	7.0	SleepStates											WAKEnontheta
536.0	2.0	SleepStates											QWake_ThDt
536.0	2.0	SleepStates											QWake_noRipples_ThDt
537.0	6.0	SleepStates											WAKEtheta_ThDt
544.0	17.0	SleepStates											NREMstate
544.0	2.0	SleepStates											NREM_ThDt
544.0	2.0	SleepStates											NREM_noRipples_ThDt
548.0	2.0	SleepStates											NREM_ThDt
548.0	2.0	SleepStates											NREM_noRipples_ThDt
549.8776	0.03200000000003911	RippleTimeIntervals						549.892	8.808900922428375	152.33026603966115	0.03200000000003911	1955.4651998521138	
552.0	7.0	SleepStates											NREM_ThDt
552.0	7.0	SleepStates											NREM_noRipples_ThDt
553.8496	0.025600000000054024	RippleTimeIntervals						553.864	11.60075816648365	138.25051628064105	0.025600000000054024	2478.0075610860918	
559.9928	0.03600000000005821	RippleTimeIntervals						560.008	11.468809166614177	147.1531273821708	0.03600000000005821	1999.747012150874	
561.0	0.0	SleepStates											NREM_ThDt
561.0	0.0	SleepStates											NREM_noRipples_ThDt
562.0	90.0	SleepStates											WAKEstate
562.0	90.0	SleepStates											WAKEnontheta
562.0	9.0	SleepStates											QWake_ThDt
562.0	9.0	SleepStates											QWake_noRipples_ThDt
569.3352	0.03120000000001255	RippleTimeIntervals						569.3528	9.52136292404861	173.80853825765507	0.03120000000001255	1404.703166187763	
571.0	3.0	SleepStates											WAKEtheta_ThDt
575.0	3.0	SleepStates											QWake_ThDt
575.0	3.0	SleepStates											QWake_noRipples_ThDt
578.0	2.0	SleepStates											WAKEtheta_ThDt
580.0	6.0	SleepStates											QWake_ThDt
580.0	6.0	SleepStates											QWake_noRipples_ThDt
580.788	0.03440000000000509	RippleTimeIntervals						580.8112	5.267761210918398	149.03792527039988	0.03440000000000509	1311.4053507284978	
